RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
102001,0,United States,country,,137.13446644793322,137.71186440677965,139.98252626139853,140.0,143.39139344262296,144.75557664926436,145.0676982591876,148.18472270936127,148.61255683689575,149.47610535600344,150.46426884948556,148.3137342908438,146.4746012994684,146.92917745672617,146.8597216998872,147.94216169352035,150.14485890014473,148.7721891163687,150.21994847121692,151.38888888888889,151.57116451016637,152.40678368121442,152.1578601072983,152.3687580025608,151.97002554841805,151.94954128440367,151.98170731707316,150.46296296296296,148.96640671865626,151.0989010989011,155.05544651619235,158.36651583710406,160.14717872032952,162.491672218521,163.25468925040826,163.7109568666336,159.6638655462185,163.0413775344248,164.55452127659575,167.51703255109766,170.1059676519799,172.91666666666666,176.7748001880583,178.24074074074073,182.46414602346806,185.83333333333334,187.9646025575302,192.20038815545664,190.62359802602063,191.65880286897368,193.29485148854928,198.31258102117454,200.6903353057199,201.8443287037037,203.34928229665073,205.27151479722036,205.30421547472258,205.65149136577708,204.5399022801303,202.64517810994892,199.95,201.03113290375177,204.39456771852696,207.08446866485014,210.23765996343693,208.84641137627543,208.60982137234734,206.782464846981,206.26286386356955,206.430043464025,202.73062730627305,204.14475719146304,201.70025874896925,201.23339703774485,204.49953095684805,206.55737704918033,206.98387096774192,206.60304400555464,206.2977418455534,208.1757425742574,207.97101449275362,212.13452561670513,212.8928468265488
394913,1,"New York, NY",msa,NY,230.1734906315059,221.0220895522388,234.96298814306726,239.9,230.4772234273319,252.33333333333334,263.2359622256253,251.83656892210217,223.91304347826087,259.97002913183155,270.64538514920196,245.64347826086956,241.78499552772809,257.63464741810105,256.986829424992,235.57312252964428,269.1088095238095,267.26190476190476,273.54632587859425,277.05627705627705,267.155091383812,272.5022923725497,242.3416051823275,269.3668895005899,275.3731343283582,264.0373415553272,270.68618751366114,285.2002620825794,244.5054945054945,277.9169160947223,277.0780856423174,272.2257972769643,289.87179487179486,287.32814131569785,298.5476007928992,295.05847647058823,276.07323232323233,301.2048192771084,311.8279569892473,311.0,333.2916666666667,324.7770700636943,318.3315088487502,321.6123499142367,321.07711199363064,328.5557413600892,296.9455514405074,311.1868401499109,344.1860465116279,307.9177324307901,335.0676499316015,336.8670324673053,370.216306156406,335.20942763157893,362.02963889958494,377.85714285714283,339.5061728395062,360.3030303030303,361.0354223433242,351.7857142857143,357.8479763079961,386.68992248062017,413.35978835978835,395.5115448883488,399.23505928127946,427.4193548387097,396.039886039886,410.7333020589642,390.27052226246417,391.43598615916954,404.6927444794953,403.0331395998659,386.7151956323931,388.6659170198657,429.57042957042955,442.8581202683206,453.49907918968694,452.3809523809524,422.41379310344826,510.2599319183306,468.9655172413793,412.9011111111111,437.62867647058823
753899,2,"Los Angeles, CA",msa,CA,407.2293943216632,428.2655246252677,446.1119157913575,451.8863204559848,500.0,490.9092935642792,485.82995951417,501.7811286269134,515.5467366557045,503.3112582781457,429.14793631872726,480.40693293142425,463.11914285714283,425.30449186397743,478.2652025802711,484.1315726861765,502.2602661534079,492.46753855597666,544.9101796407185,571.9921104536489,534.0280204894402,612.8696305401899,531.7967292964634,465.8484246802041,576.6862795258805,596.5591397849462,597.2814451382694,584.6898372195336,560.7438919174756,610.6337960285329,575.8692816695298,542.8571428571429,616.6521429137289,563.7162902342366,649.7175141242938,566.4897698209719,563.6710066687838,536.2185176592337,566.9315654074547,703.5790761700825,621.9152488919675,580.7200929152149,632.7632361793937,612.7173913043479,635.872825434913,580.8957952468007,560.9756097560976,543.7689202825429,633.1727460426704,610.6870229007634,666.6666666666666,635.5263157894736,905.1559150890394,789.7049084384481,687.1731354190667,685.3582554517134,655.2094522019335,635.1515151515151,610.5079125507599,599.8246990585133,603.2545296931688,587.7056814653835,727.5,636.4581497797357,621.2282570110046,699.2976626515124,583.8991537376587,636.2540192926045,665.5817398160975,656.8494005317306,601.6839378238342,550.5302048755527,663.2425189816882,578.2416044776119,665.2702136573105,565.9241420830825,575.5288933739386,593.1132735089321,664.002514668902,589.622641509434,667.945205479452,674.8826291079812,629.0647660863447
394463,3,"Chicago, IL",msa,IL,146.15384615384616,147.1571906354515,144.84561588154168,151.72076898344392,151.58115671641792,155.74669187145557,152.95501437201597,144.35344827586206,157.6821152075819,152.14899713467048,153.57142857142858,147.05882352941177,137.90186125211505,140.06734006734007,154.0,153.22869988209766,156.9055336095343,164.68086493321204,165.60122004675628,161.98333333333332,153.73338870431894,165.3658536585366,151.23456790123456,159.8078240252898,143.14632735685367,157.89084813653778,157.86438281141437,160.92654993643714,153.45982142857142,166.22857142857143,160.87844739530132,166.7556788340336,170.5284205884931,171.50801809218882,163.33333333333334,163.96275582091425,170.78947368421052,169.163290513834,171.89287744332367,172.82526610208998,176.45585472761428,183.5,188.470066518847,179.9832110091743,185.0100535210235,196.81549197188733,190.67796610169492,193.62364647477855,192.24026402640263,195.28171872780044,196.42361111111111,206.52173913043478,198.49540043290045,213.26913580246912,212.38642978991604,199.41986947063089,203.02098408104197,196.90840797457383,200.6633221850613,195.39032258064515,197.63118867546515,199.6195358877496,197.52592592592592,206.77616180927777,214.53727131179448,213.08866279069767,201.4194995082545,201.09338475344222,203.2693393562959,202.67858813955854,202.31174398794604,209.525329571557,203.57142857142858,204.46349828515434,206.51711454985255,218.51146270584437,216.58530033724304,222.495,223.21428571428572,214.52462213554364,216.2040817216411,216.20338554335382,209.8566513761468
394514,4,"Dallas, TX",msa,TX,130.77361809045226,131.13129376674325,132.55047204066813,131.7870374201538,136.10088759363504,137.4148394445349,137.37887132822476,136.78925790930742,138.35848724714162,137.76524497708849,135.92208183586067,136.19854721549638,137.4570446735395,138.80855986119144,136.42340565417487,137.9176379176379,139.0520350334879,138.50438608419276,140.73044255699597,139.46317891317327,140.8744564329545,140.91526959673766,140.19710935920762,139.85436689396977,141.32553606237818,142.2798552472859,143.0820610687023,143.7456807187284,141.78396226415094,142.40395302584733,144.34395338400344,145.0373909867339,145.89515331355094,148.18355640535373,149.60166085157454,151.03062161034626,150.80429092678315,152.9294935451837,154.2365321563682,159.07122942113648,163.29357798165137,165.39305513875772,169.40088105726872,170.17879948914432,175.83349492510683,176.80921052631578,179.82075,181.2206816868862,185.18707565080285,187.1875725960074,191.22272957889396,196.76696542893725,200.94871794871796,206.6225165562914,204.8879781420765,204.63090612858753,202.204628412907,200.1715317484201,198.14551201599033,198.1450252951096,195.83333333333334,194.09222056726662,199.4171597633136,200.0,199.4683257918552,197.12040490143846,198.78706199460916,196.94731659281143,196.5065502183406,194.22601530311948,191.91988950276243,192.7425,191.1544227886057,189.63710912691,194.7635814889336,196.2962962962963,194.12493777999003,193.62797822756755,194.37306979617048,193.80689031142802,194.6888528138528,197.26413146319038,201.58612042590045
394692,5,"Houston, TX",msa,TX,115.09329268292683,115.21418020679468,117.82198040324101,118.60197165742453,119.50778816199377,120.54036535061874,121.45163297045102,122.92495189223861,123.65029606408916,123.0516129032258,122.15384615384616,123.32328767123288,122.05014749262537,123.30211199223174,125.75897874446613,124.95480916030535,126.31813229763002,126.83947211878177,128.86373357775742,130.30955604432165,130.54348957935986,128.61915367483297,130.17526721536092,130.6754697842981,124.37774524158127,127.48763056624519,127.97556719022688,127.05372095727327,126.82763636343651,130.05374271598276,129.95681193561052,130.28571428571428,131.5513209181464,135.55726957192442,135.29707613280516,137.5045045045045,137.00495723579496,138.90967397113843,144.91494012319174,148.50464077002405,149.54832474226805,154.25531914893617,154.9568552253116,155.82743665577823,158.72121509064183,159.94594594594594,164.96533885152613,165.77951002227172,163.1116687578419,166.36532507739938,169.77348434377083,174.65753424657535,175.47161125319693,178.2423303936035,178.07600241490127,179.46792391886993,178.8036410923277,174.58440741905062,173.52941176470588,172.51094974642695,169.3047333047333,170.34243022128484,174.61341501790503,171.95666392202895,176.0,170.6692997906837,172.12659633536924,172.0942140296979,171.0772520716386,169.43955630683755,168.0827296097219,171.64007976071784,168.6372059086853,167.2158154859967,173.16017316017317,173.43507087321404,172.98777777777778,173.14382719812596,173.6443917116427,171.0784695369337,172.66321243523316,176.07693836259847,170.74323395995987
395209,6,"Washington, DC",msa,VA,187.1932546175709,184.7493772499073,190.80995343422583,189.48173006327636,189.40435613390093,191.1627729518089,190.84476930382542,196.51157881866555,197.3684210526316,195.2114898989899,183.45334101382488,185.97042273842158,189.59731543624162,178.50467289719626,191.0299003322259,199.0491591203105,191.6246168838369,194.80595721327893,193.3016011113015,199.3810260683252,209.4973282442748,183.05475226527858,196.18186582809224,193.45238095238096,218.16711590296495,202.73715932914047,194.2039789287258,207.67549867130344,210.078,197.09895833333334,217.00310559006212,214.96772300469485,228.36892307692307,231.22307692307692,224.2569840573351,229.43037974683546,221.35714285714286,237.3741610738255,236.82051512257271,235.04770423375075,236.20639205915955,239.5,252.54244345129516,248.79912196184614,261.65735567970205,271.02356847619996,256.21378656382694,254.9007659007659,253.85284618169578,252.67208208636168,255.94905792044662,255.38679245283018,257.4277629936264,264.42477876106193,279.1622940817572,263.06072426149024,268.44615384615383,269.7340165085912,280.50545663411833,286.56398108301835,274.995,280.3182551171544,280.1153516295026,280.1867911941294,279.07031270452103,286.1111111111111,290.6636320076665,282.0300534298883,270.83800740322476,273.172569706104,275.804569761789,277.46376367780834,283.4909930121368,282.9403606102635,288.454088437021,280.524165154265,279.491133384734,281.04162349672674,281.6358024691358,282.51333872271624,279.28361132247625,293.4133602024407,278.47685998828354
394974,7,"Philadelphia, PA",msa,PA,166.41442281879193,165.28064992614475,175.908,191.93462099957588,173.79862700228833,172.1390925756187,176.26937046004844,171.40185157308446,165.60484622553588,179.49373650107992,176.6826003824092,169.7612340710932,170.51705170517053,172.06039413534637,166.15653694796677,172.4745358578851,172.54921122994654,178.5,175.0959559991673,173.81590085639,172.75485966781355,178.33333333333334,171.90993788819875,172.7941176470588,174.10631741140216,170.60908000468092,187.45967741935485,182.52708860759495,184.41803278688525,183.18852459016392,188.04213465321405,189.77124183006535,187.0,189.873417721519,188.80902777777777,193.44560764679107,187.5,195.50753525544854,203.30086464560205,208.2072338111998,210.02710027100272,212.7039627039627,218.03762291577598,217.01074870274277,216.11287825615142,224.50819672131146,230.42345276872965,227.14285714285714,225.0,221.55601415094338,227.27,232.82191780821918,246.56351791530943,246.81300995024876,254.2153047989624,250.50954168407014,248.418487394958,253.50565261846688,247.07196684060767,259.39570247525137,247.61313999995184,247.51938974178927,275.2969158389963,266.8903822460948,256.1049082053203,251.19574116219087,243.75,244.48015548281506,245.21196893558704,248.2884026622296,247.99333333333334,252.8578654527061,261.32177681473456,249.29178470254956,243.0991279075692,262.5,256.4102564102564,257.420838682071,266.66,266.9491525423729,273.32666666666665,274.2340425531915,277.73343190945604
394856,8,"Miami, FL",msa,FL,184.74002186023552,188.46345101939335,187.9877039489241,193.9655172413793,191.8605778005932,192.30769230769232,191.7294473861696,191.41727837380012,190.99792715427895,195.2468810775463,195.9490274983233,199.24812030075188,195.0,198.04996953077392,205.0395256916996,195.76508190171793,206.61417322834646,194.76124813222896,205.78231292517006,211.47811918063314,210.4664391353811,210.40299906279287,212.84621434396902,204.0,219.47782897025093,213.5150731561224,212.09729981378027,207.89350000000002,218.88708514812907,212.13218577021215,218.11722912966252,217.24815776572603,244.11450633025916,230.76923076923077,248.68728151884955,239.6887391250174,241.35281732364712,256.198347107438,260.80770995869665,260.0472813238771,262.83944547471276,282.97741074984924,274.44253859348197,272.27012189808585,296.6311871093229,283.87767073753076,289.3518082412696,286.8107947158352,306.9115514741421,290.35208047553726,312.883008356546,342.0752565564424,317.37701836393325,340.55183654903146,334.47684391080617,295.67420892436684,305.1948051948052,316.5290195514664,293.20421113354485,290.9034656220847,346.15019011406844,330.4313415116739,350.07634827810267,339.6358211398592,334.1359520313265,336.5909621785763,330.47845406167914,323.57286769644054,341.3661392736433,342.6046009038262,353.81284916201116,349.7573721537887,363.97601598192676,360.9485446985447,402.3508483853311,404.1424602172266,368.9655172413793,369.6145124716553,354.2811105077957,365.7142857142857,395.5750598337252,449.0,406.60706201901314
394347,9,"Atlanta, GA",msa,GA,102.28633641807295,103.74301025163093,104.1771334681854,105.68571428571428,108.61102145433833,110.82993796526054,108.67117117117117,106.71662125340599,110.79503916449086,114.30317848410758,116.18913043478261,114.25,106.40598290598291,110.22936358439279,113.00837606757037,112.80701754385964,114.48087431693989,113.54940034266134,117.38148984198645,116.90283149918815,121.27512127512128,118.44343668335318,117.65384615384616,122.34249153180278,119.12852962905004,123.14285714285714,126.42869948266147,126.02371382075478,120.50638062482662,125.44172932330827,127.04089070447355,130.67893660531698,131.4793755883986,135.08923423423423,137.10475313873624,138.24188129899215,138.32630469161833,139.85262886837864,146.9984568315757,150.2072741493938,154.5885065477849,158.16326530612244,158.42119135477068,156.27822814128547,157.82638414217362,161.33432638199272,162.4929742388759,167.4641148325359,163.0209819370981,166.1088,174.0,174.04159239453358,179.56504389465283,185.26473526473526,181.55047204066813,185.31728155339806,185.74474660074165,180.2906976744186,183.44635021938572,185.30116779348495,183.8578865348892,190.74319840743198,190.38227172068045,193.81761996303828,198.98832501647678,194.76190476190476,190.74856046065258,181.33014735165273,189.95477159656264,193.43218390804597,189.88715710723193,195.48157894736843,190.1072607260726,191.5060940927609,190.625,196.79329226557152,191.96770717187945,189.9872448979592,193.79877012366865,192.35908553409539,195.76319816373373,195.03919578178628,196.98951385557092
